,title,authors,average_rating,title_lower,categories,description,thumbnail,published_year,combined_features
10,Giving Good Weight,John McPhee,4.23,giving good weight,Literary Collections,"""You people come into the market--the Greenmarket, in the open air under the down pouring sun--and you slit the tomatoes with your fingernails. With your thumbs, you excavate the cheese. You choose your stringbeans one at a time. You pulp the nectarines and rape the sweet corn. You are something wonderful, you are--people of the city--and we, who are almost without exception strangers here, are as absorbed with you as you seem to be with the numbers on our hanging scales."" So opens the title piece in this collection of John McPhee's classic essays, grouped here with four others, including ""Brigade de Cuisine,"" a profile of an artistic and extraordinary chef; ""The Keel of Lake Dickey,"" in which a journey down the whitewater of a wild river ends in the shadow of a huge projected dam; a report on plans for the construction of nuclear power plants that would float in the ocean; and a pinball shoot-out between two prizewinning journalists.",http://books.google.com/books/content?id=Xx0IHQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1994.0,"giving good weight,John McPhee,Literary Collections,""You people come into the market--the Greenmarket, in the open air under the down pouring sun--and you slit the tomatoes with your fingernails. With your thumbs, you excavate the cheese. You choose your stringbeans one at a time. You pulp the nectarines and rape the sweet corn. You are something wonderful, you are--people of the city--and we, who are almost without exception strangers here, are as absorbed with you as you seem to be with the numbers on our hanging scales."" So opens the title piece in this collection of John McPhee's classic essays, grouped here with four others, including ""Brigade de Cuisine,"" a profile of an artistic and extraordinary chef; ""The Keel of Lake Dickey,"" in which a journey down the whitewater of a wild river ends in the shadow of a huge projected dam; a report on plans for the construction of nuclear power plants that would float in the ocean; and a pinball shoot-out between two prizewinning journalists."
11,The Heidi Chronicles,Wendy Wasserstein,3.75,the heidi chronicles,Literary Criticism,"THE STORY: Comprised of a series of interrelated scenes, the play traces the coming of age of Heidi Holland, a successful art historian, as she tries to find her bearings in a rapidly changing world. Gradually distancing herself from her friends, s",http://books.google.com/books/content?id=z1XLUAwU1sIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,1990.0,"the heidi chronicles,Wendy Wasserstein,Literary Criticism,THE STORY: Comprised of a series of interrelated scenes, the play traces the coming of age of Heidi Holland, a successful art historian, as she tries to find her bearings in a rapidly changing world. Gradually distancing herself from her friends, s"
12,Simply Beautiful Beaded Jewelry,Heidi Boyd,3.77,simply beautiful beaded jewelry,Crafts & Hobbies,"If gorgeous beaded jewelry always catches your eye, you'll love making (and wearing!) your own necklaces, bracelets and earrings. Simply Beautiful Beaded Jewelry includes 50 projects plus variations in designer Heidi Boyd's simply elegant signature style. Inside you're bound to find plenty of designs to strike your fancy as well as a helpful section that shows you the basic supplies and techniques you'll need to get started. As an added bonus, many of the projects have variations in different colors and styles to help you customize your jewelry to your personal style. &break;&break;Just think how proud you'll feel the first time you can answer, ""I made it myself"" to a compliment on your fabulous new multistrand necklace or your sparkling, swingy crystal earrings. With Simply Beautiful Beaded Jewelry, it truly is easy to get started–in no time at all you'll be showcasing your own original beaded creations and making them as gifts.",http://books.google.com/books/content?id=PRvExwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2006.0,"simply beautiful beaded jewelry,Heidi Boyd,Crafts & Hobbies,If gorgeous beaded jewelry always catches your eye, you'll love making (and wearing!) your own necklaces, bracelets and earrings. Simply Beautiful Beaded Jewelry includes 50 projects plus variations in designer Heidi Boyd's simply elegant signature style. Inside you're bound to find plenty of designs to strike your fancy as well as a helpful section that shows you the basic supplies and techniques you'll need to get started. As an added bonus, many of the projects have variations in different colors and styles to help you customize your jewelry to your personal style. &break;&break;Just think how proud you'll feel the first time you can answer, ""I made it myself"" to a compliment on your fabulous new multistrand necklace or your sparkling, swingy crystal earrings. With Simply Beautiful Beaded Jewelry, it truly is easy to get started–in no time at all you'll be showcasing your own original beaded creations and making them as gifts."
13,Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,3.25,getting results with curriculum mapping,Education,Teachers and administrators offer concrete advice on how to get the most out of curriculum mapping in districts and schools.,http://books.google.com/books/content?id=FWNuQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2004.0,"getting results with curriculum mapping,Heidi Hayes Jacobs,Education,Teachers and administrators offer concrete advice on how to get the most out of curriculum mapping in districts and schools."
14,Ruby Cookbook,Lucas Carlson/Leonard Richardson,3.84,ruby cookbook,Computers,"Provides information on using the Ruby programming language, covering such topics as strings and arrays, XML processing, Ruby on Rails, databases, and graphics.",http://books.google.com/books/content?id=E_KMa5Zab0MC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,2006.0,"ruby cookbook,Lucas Carlson/Leonard Richardson,Computers,Provides information on using the Ruby programming language, covering such topics as strings and arrays, XML processing, Ruby on Rails, databases, and graphics."
15,Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,4.12,ruby ann's down home trailer park cookbook,Cooking,"Showcases the eccentric residents of the fictional High Chaparral Trailer Park of Pangburn, Arkansas, a community filled with sex, murder, topless dancing, secrets, and adultery, as they dish the dirt on their neighbors and provide such cost-effective recipes as Spam Rolls, Mayonnaises Cake, All Day Crock Pot Delight, and Honky Tonkin' Husband's Bread. Original.",http://books.google.com/books/content?id=bVf9SQKUumgC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2002.0,"ruby ann's down home trailer park cookbook,Ruby Ann Boxcar,Cooking,Showcases the eccentric residents of the fictional High Chaparral Trailer Park of Pangburn, Arkansas, a community filled with sex, murder, topless dancing, secrets, and adultery, as they dish the dirt on their neighbors and provide such cost-effective recipes as Spam Rolls, Mayonnaises Cake, All Day Crock Pot Delight, and Honky Tonkin' Husband's Bread. Original."
16,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,4.05,anna karenina,Fiction,The Award-Winning New Translation Of The Great Russian Novel.,http://books.google.com/books/content?id=NjBz-8TLnTEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2002.0,"anna karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,Fiction,The Award-Winning New Translation Of The Great Russian Novel."
17,CliffsNotes on Tolstoy's Anna Karenina,Marianne Sturman/Leo Tolstoy,3.85,cliffsnotes on tolstoy's anna karenina,Literary Criticism,"The original CliffsNotes study guides offer expert commentary on major themes, plots, characters, literary devices, and historical background. CliffsNotes on Anna Karenina delves into the complex web of relationships in Tolstoy’s epic novel. As the characters unfold, this novel draws you into the lives of Karenin, Anna, and others as they struggle through the seemingly hopeless marriage patterns of urban society. Do romantic relationships make us stronger or weaker as individuals? With insights into the characters of Anna Karenina, as well as information about Tolstoy’s own life and background, this study guide will help you get the most out of this classic novel. Other features that help you study include A character list that reveals names, traits, and key relationships Summaries and commentaries on each chapter Critical essays In-depth character analyses Analysis of major themes Review questions and suggested writing topics Classic literature or modern modern-day treasure — you'll understand it all with expert information and insight from CliffsNotes study guides.",http://books.google.com/books/content?id=aPMFyQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1965.0,"cliffsnotes on tolstoy's anna karenina,Marianne Sturman/Leo Tolstoy,Literary Criticism,The original CliffsNotes study guides offer expert commentary on major themes, plots, characters, literary devices, and historical background. CliffsNotes on Anna Karenina delves into the complex web of relationships in Tolstoy’s epic novel. As the characters unfold, this novel draws you into the lives of Karenin, Anna, and others as they struggle through the seemingly hopeless marriage patterns of urban society. Do romantic relationships make us stronger or weaker as individuals? With insights into the characters of Anna Karenina, as well as information about Tolstoy’s own life and background, this study guide will help you get the most out of this classic novel. Other features that help you study include A character list that reveals names, traits, and key relationships Summaries and commentaries on each chapter Critical essays In-depth character analyses Analysis of major themes Review questions and suggested writing topics Classic literature or modern modern-day treasure — you'll understand it all with expert information and insight from CliffsNotes study guides."
18,Tolstoy: Anna Karenina,Anthony Thorlby,4.19,tolstoy: anna karenina,Literary Criticism,A close reading of this classic novel that explores the subtle psychology in Tolstoy's characterisation.,http://books.google.com/books/content?id=eOrv5wGPnTgC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,1987.0,"tolstoy: anna karenina,Anthony Thorlby,Literary Criticism,A close reading of this classic novel that explores the subtle psychology in Tolstoy's characterisation."
19,Untouchable,Mulk Raj Anand/E.M. Forster,3.71,untouchable,Fiction,Explores the plight of the `Untouchables' in Hindu society in the 1930s.,http://books.google.com/books/content?id=6OGdT0VVaKAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,1940.0,"untouchable,Mulk Raj Anand/E.M. Forster,Fiction,Explores the plight of the `Untouchables' in Hindu society in the 1930s."
20,The Untouchable,John Banville,3.95,the untouchable,Fiction,"A winner of the Lannan Literary Award and a Publishers Weekly Best Book of Year relates the story of a British intelligence agent and art historian to the Queen who is exposed as a Russian agent. Reprint. 20,000 first printing.",http://books.google.com/books/content?id=lOeXpung8tkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,1998.0,"the untouchable,John Banville,Fiction,A winner of the Lannan Literary Award and a Publishers Weekly Best Book of Year relates the story of a British intelligence agent and art historian to the Queen who is exposed as a Russian agent. Reprint. 20,000 first printing."
21,Wrinkles in Time,George Smoot/Keay Davidson,4.01,wrinkles in time,Science,"Behold the Handwriting of God Astrophysicist and adventurer George Smoot spent twenty years pursuing the ""holy grail of science"" -- a relentless hunt that led him from the rain forests of Brazil to the frozen wastes of Antarctica. For decades he persevered -- struggling against time, the elements, the forces of ignorance and bureaucratic insanity. And finally, on April 23, 1992, he made a startling announcement that would usher in a new scientific age. For George Smoot and his dedicated team of Berkeley researchers had proven the unprovable -- uncovering, inarguably and for all time, the secrets of the creation of the Universe.",http://books.google.com/books/content?id=DSv0HQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1994.0,"wrinkles in time,George Smoot/Keay Davidson,Science,Behold the Handwriting of God Astrophysicist and adventurer George Smoot spent twenty years pursuing the ""holy grail of science"" -- a relentless hunt that led him from the rain forests of Brazil to the frozen wastes of Antarctica. For decades he persevered -- struggling against time, the elements, the forces of ignorance and bureaucratic insanity. And finally, on April 23, 1992, he made a startling announcement that would usher in a new scientific age. For George Smoot and his dedicated team of Berkeley researchers had proven the unprovable -- uncovering, inarguably and for all time, the secrets of the creation of the Universe."
22,The Puffin Book of Nonsense Verse,Quentin Blake,4.02,the puffin book of nonsense verse,Juvenile Nonfiction,"A lively, upbeat collection of nonsense verse for all the family, including Lear, Carroll, Belloc and Nash, with Quentin Blake's wonderfully loopy illustrations.",http://books.google.com/books/content?id=hMjTHea0roQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,1996.0,"the puffin book of nonsense verse,Quentin Blake,Juvenile Nonfiction,A lively, upbeat collection of nonsense verse for all the family, including Lear, Carroll, Belloc and Nash, with Quentin Blake's wonderfully loopy illustrations."
23,Henry Miller on Writing,Henry Miller/Thomas H. Moore,4.22,henry miller on writing,Literary Criticism,"Some of the most rewarding pages in Henry Miller's books concern his self-education as a writer. He tells, as few great writers ever have, how he set his goals, how he discovered the excitement of using words, how the books he read influenced him, and how he learned to draw on his own experience.",http://books.google.com/books/content?id=tNB6wAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1964.0,"henry miller on writing,Henry Miller/Thomas H. Moore,Literary Criticism,Some of the most rewarding pages in Henry Miller's books concern his self-education as a writer. He tells, as few great writers ever have, how he set his goals, how he discovered the excitement of using words, how the books he read influenced him, and how he learned to draw on his own experience."
24,Quiet Days in Clichy,Henry Miller,3.69,quiet days in clichy,Fiction,Describes the experiences of two American writers living in Paris and their encounters with French prostitutes,http://books.google.com/books/content?id=pzSgm88YFCYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,1987.0,"quiet days in clichy,Henry Miller,Fiction,Describes the experiences of two American writers living in Paris and their encounters with French prostitutes"
25,Tropic of Cancer,Henry Miller/Jiří Níl,3.68,tropic of cancer,Fiction,"Miller's groundbreaking first novel, banned in Britain for almost thirty years, now reinvigorated in a new Harper Perennial Modern Classics edition. A penniless and as yet unpublished writer, Henry Miller arrived in Paris in 1930. Leaving behind a disintegrating marriage and an unhappy career in America, he threw himself into the low-life of bohemian Paris with unwavering gusto. A fictional account of Miller's adventures amongst the prostitutes and pimps, the penniless painters and writers of Montparnasse, Tropic of Cancer is an extravagant and rhapsodic hymn to a world of unrivalled eroticism and freedom. Tropic of Cancer's 1934 publication in France was hailed by Samuel Beckett as 'a momentous event in the history of modern writing'. The novel was subsequently banned in the UK and the USA and not released for publication for a further thirty years.",http://books.google.com/books/content?id=ProgRjTL8FIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2005.0,"tropic of cancer,Henry Miller/Jiří Níl,Fiction,Miller's groundbreaking first novel, banned in Britain for almost thirty years, now reinvigorated in a new Harper Perennial Modern Classics edition. A penniless and as yet unpublished writer, Henry Miller arrived in Paris in 1930. Leaving behind a disintegrating marriage and an unhappy career in America, he threw himself into the low-life of bohemian Paris with unwavering gusto. A fictional account of Miller's adventures amongst the prostitutes and pimps, the penniless painters and writers of Montparnasse, Tropic of Cancer is an extravagant and rhapsodic hymn to a world of unrivalled eroticism and freedom. Tropic of Cancer's 1934 publication in France was hailed by Samuel Beckett as 'a momentous event in the history of modern writing'. The novel was subsequently banned in the UK and the USA and not released for publication for a further thirty years."
26,Tropic of Capricorn,Henry Miller,3.78,tropic of capricorn,Fiction,"Banned in America for almost thirty years because of its explicit sexual content, this companion volume to Miller’s Tropic of Cancer chronicles his life in 1920s New York City. Famous for its frank portrayal of life in Brooklyn’s ethnic neighborhoods and Miller’s outrageous sexual exploits, The Tropic of Capricorn is now considered a cornerstone of modern literature.",http://books.google.com/books/content?id=oK7U5DbFA3gC&printsec=frontcover&img=1&zoom=1&source=gbs_api,1961.0,"tropic of capricorn,Henry Miller,Fiction,Banned in America for almost thirty years because of its explicit sexual content, this companion volume to Miller’s Tropic of Cancer chronicles his life in 1920s New York City. Famous for its frank portrayal of life in Brooklyn’s ethnic neighborhoods and Miller’s outrageous sexual exploits, The Tropic of Capricorn is now considered a cornerstone of modern literature."
27,The Portrait of a Lady,Henry James/Patricia Crick,3.78,the portrait of a lady,Fiction,"When Isabel Archer, a beautiful, spirited American is brought to Europe by her wealthy aunt Touchett, it is expected that she will soon marry. But Isabel, resolved to enjoy the freedom that her fortune has opened up and to determine her own fate, does not hesitate to turn down two eligible suitors. It is only when she finds herself irresistibly drawn to the cultivated but worthless Gilbert Osmond that she discovers that wealth is a two-edged sword and that there is a price to be paid for independence. With its subtle delineation of American characters in a European setting, Portrait of a Lady is one of the most accomplished and popular of Henry James's early novels.",http://books.google.com/books/content?id=Y6EcVaBi2AAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2003.0,"the portrait of a lady,Henry James/Patricia Crick,Fiction,When Isabel Archer, a beautiful, spirited American is brought to Europe by her wealthy aunt Touchett, it is expected that she will soon marry. But Isabel, resolved to enjoy the freedom that her fortune has opened up and to determine her own fate, does not hesitate to turn down two eligible suitors. It is only when she finds herself irresistibly drawn to the cultivated but worthless Gilbert Osmond that she discovers that wealth is a two-edged sword and that there is a price to be paid for independence. With its subtle delineation of American characters in a European setting, Portrait of a Lady is one of the most accomplished and popular of Henry James's early novels."
28,The War,Marguerite Duras/Barbara Bray,3.85,the war,Biography & Autobiography,"The extraordinary pages of The War, written in 1944 but finished in 1985, form a totally new image of the heroine of The Lover and, through her, of Paris during the Nazi occupation and the first months of liberation. Married and living in Paris, part of a resistance network headed by Francois Mitterand, Duras is swept up in the turmoil of the period. She tells of nursing her starving husband back to life on his return from Bergen-Belsen, interrogating a suspected collaborator, and playing a game of cat and mouse with a Gestapo officer who is attracted to her. The result is a book as moving as it is harrowing--perhaps Duras's finest.",http://books.google.com/books/content?id=1h1uPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1994.0,"the war,Marguerite Duras/Barbara Bray,Biography & Autobiography,The extraordinary pages of The War, written in 1944 but finished in 1985, form a totally new image of the heroine of The Lover and, through her, of Paris during the Nazi occupation and the first months of liberation. Married and living in Paris, part of a resistance network headed by Francois Mitterand, Duras is swept up in the turmoil of the period. She tells of nursing her starving husband back to life on his return from Bergen-Belsen, interrogating a suspected collaborator, and playing a game of cat and mouse with a Gestapo officer who is attracted to her. The result is a book as moving as it is harrowing--perhaps Duras's finest."
29,The Ravishing of Lol Stein,Marguerite Duras/Richard Seever,3.66,the ravishing of lol stein,Fiction,Lol Stein's comfortable married life is disrupted when she returns to her hometown and recalls how she was abandoned by a former fiance,http://books.google.com/books/content?id=YtSMDQAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1986.0,"the ravishing of lol stein,Marguerite Duras/Richard Seever,Fiction,Lol Stein's comfortable married life is disrupted when she returns to her hometown and recalls how she was abandoned by a former fiance"
30,Love Letters,Kahlil Gibran/Suheil Bushrui/Salma H. Al-Kuzbari,3.68,love letters,Biography & Autobiography,A moving anthology of correspondence between Gibran and May Ziadah.,http://books.google.com/books/content?id=OY0MAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1999.0,"love letters,Kahlil Gibran/Suheil Bushrui/Salma H. Al-Kuzbari,Biography & Autobiography,A moving anthology of correspondence between Gibran and May Ziadah."
31,The Broken Wings,Kahlil Gibran/جبران خليل جبران/Anthony Rizcallah Ferris,3.92,the broken wings,,,http://books.google.com/books/content?id=5zfsxwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1989.0,"the broken wings,Kahlil Gibran/جبران خليل جبران/Anthony Rizcallah Ferris"
32,Treasure Island,Robert Louis Stevenson,3.83,treasure island,Juvenile Fiction,"While going through the possessions of a deceased guest who owed them money, the mistress of the inn and her son find a treasure map that leads to a pirate fortune as well as great danger.",http://books.google.com/books/content?id=NTGDz-HBRBYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,2005.0,"treasure island,Robert Louis Stevenson,Juvenile Fiction,While going through the possessions of a deceased guest who owed them money, the mistress of the inn and her son find a treasure map that leads to a pirate fortune as well as great danger."
33,100 Years of Lynchings,Ralph Ginzburg,4.61,100 years of lynchings,Social Science,Ginzburg compiles vivid newspaper accounts from 1886 to 1960 to provide insight and understanding of the history of racial violence.,http://books.google.com/books/content?id=0km_frJZALIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,1962.0,"100 years of lynchings,Ralph Ginzburg,Social Science,Ginzburg compiles vivid newspaper accounts from 1886 to 1960 to provide insight and understanding of the history of racial violence."
34,Stranger in a Strange Land,Robert A. Heinlein,3.92,stranger in a strange land,Science fiction,"Epic, entertaining, Stranger in a Strange Land caused controversy and uproar when it was first published. Still topical and challenging today, the story of Valentine Michael Smith, the first man from Mars to visit Earth, is in the great tradition of stories that endure through the power of the author's imagination that stretches from Gulliver's Travels to 1984",http://books.google.com/books/content?id=ZQhiPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2005.0,"stranger in a strange land,Robert A. Heinlein,Science fiction,Epic, entertaining, Stranger in a Strange Land caused controversy and uproar when it was first published. Still topical and challenging today, the story of Valentine Michael Smith, the first man from Mars to visit Earth, is in the great tradition of stories that endure through the power of the author's imagination that stretches from Gulliver's Travels to 1984"
35,To Sail Beyond the Sunset,Robert A. Heinlein,3.87,to sail beyond the sunset,Fiction,"The author ties together themes and characters from his previous stories as he traces the life and loves of Maureen Johnson, the mother of Lazarus Long",http://books.google.com/books/content?id=u_-sxgKp5kcC&printsec=frontcover&img=1&zoom=1&source=gbs_api,1988.0,"to sail beyond the sunset,Robert A. Heinlein,Fiction,The author ties together themes and characters from his previous stories as he traces the life and loves of Maureen Johnson, the mother of Lazarus Long"
36,Douglas Adams's Starship Titanic,Terry Jones,3.6,douglas adams's starship titanic,Fiction,"Seconds after its initial launch, Starship Titanic undergoes SMEF (Spontaneous Massive Existence Failure) and vanishes, only to mysteriously turn up at the home of Dan and Lucy Gibson, residents of a remote, little-known planet called Earth. Reprint.",http://books.google.com/books/content?id=CzV8djGjTx8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,1998.0,"douglas adams's starship titanic,Terry Jones,Fiction,Seconds after its initial launch, Starship Titanic undergoes SMEF (Spontaneous Massive Existence Failure) and vanishes, only to mysteriously turn up at the home of Dan and Lucy Gibson, residents of a remote, little-known planet called Earth. Reprint."
